id_evento_std,nombre_evento_class,artistas_evento_std,nombre_evento_std,curador,organizadores_std,Lugar_std,pais,ciudad,mes_inicio,año_inicio,tipo_evento_naturaleza,tipo_evento_participacion,tipo_evento_espacio_tiempo,tipos_criterio_evento
147,"10 Alumnos - Cali - 1988","Pablo Van Wong","10 Alumnos",,"Galería La Ventana ; Bellas Artes","Galería La Ventana",Colombia,Cali,8,1988,exposición,colectiva,temporal,
148,"14 Artistas Caleños  -  - 1980","Alicia Barney ;Ever Astudillo;Óscar Muñoz; Rodolfo Vélez; Maripaz Jaramillo; Mario Gordillo; Gerthn Bartelsman; Hernándo Guerrero; Gerardo Ravassa; Édgar Álvarez; Héctor Oviedo; Carlos Mayolo; Luis Ospina","14 Artistas Caleños ",,"Galería del Banco Central Hipotecario ","Galería del Banco Central Hipotecario",Colombia,,,1980,exposición,colectiva,temporal,
149,"15 Nuevas Expresiones - Bogotá - 1989","Cristina Llano;Constanza Aguirre; Diego Arango; Beatriz Duque; Andrés Fonseca; Jaime Alberto Franco; Lorenzo Jaramillo; Luis Luna; Diego Mazuera; Mario Ossaba; María Teresa Rizzi; Ana María Rueda; Patricia Tavera; Ricardo Valbuena; María Teresa Vieco","15 Nuevas Expresiones",,"Galería Diners","Galería Diners",Colombia,Bogotá,,1989,exposición,colectiva,temporal,
150,"1992 - Bogotá - 1992","Rodrigo Facundo;María Teresa Cano; Juan Fernando Herrán; José Horacio Martínez; Juan Andrés Posada; José Alejandro Restrepo; Daniel Rivera; José Antonio Suárez; Pablo Van Wong; Esteban Villa Doutreligne; Jorge Ortíz",1992,,"Galería Valenzuela y Klenner","Galería Valenzuela y Klenner",Colombia,Bogotá,10,1992,exposición,colectiva,temporal,
151,"20 Maestros Colombianos - Tel Aviv - 1997","Cristina Llano;","20 Maestros Colombianos",,"Icc Tel Aviv","International Chamber of Commerce: ICC",Israel,"Tel Aviv",,1997,exposición,colectiva,temporal,
152,"3D - Bogotá - 2002","Elías Heim;Feliza Bursztyn; Beatriz González; Álvaro Barrios; Bernardo Salcedo; Édgar Negret; Hugo Zapata; Carlos Rojas; Germán Botero; Mario Opazo",3D,"Ana María Lozano","Museo de Arte Moderno de Bogotá","Museo de Arte Moderno de Bogotá",Colombia,Bogotá,2,2002,exposición,colectiva,temporal,curador
153,"450 Kilómetros  - Bogotá - 1999","Leonardo Herrera;Giovanni Vargas; Ana María Millán","450 Kilómetros ","Wilson Díaz","Galería Santa Fe","Galería Santa Fe - Planetario Distrital",Colombia,Bogotá,,1999,exposición,colectiva,temporal,curador
154,"Abstracción Local, Reflexión con Carlos Rojas - Bogotá - 1997","Ana María Rueda ","Abstracción Local, Reflexión con Carlos Rojas",,"Galería El Museo","Galería El Museo",Colombia,Bogotá,8,1997,exposición,colectiva,temporal,
155,"Abstractos en París  - París  - 1986","Ana María Rueda","Abstractos en París ",,"Galería Espace Cardin","Galería Espace Cardin",Francia,"París ",10,1986,exposición,colectiva,temporal,
156,"Academia y figuración realista - Bogotá - 1975","Miguel Ángel Rojas ;Darío Morales","Academia y figuración realista","Álvaro Medina ","Museo de Arte Moderno Universidad Nacional de Colombia","Museo de Arte de la Universidad Nacional de Colombia",Colombia,Bogotá,,1975,exposición,colectiva,temporal,curador
157,"Actitudes Plurales - Cali - 1983","Alicia Barney ;Patricia Bonilla; Julian Castellanos; Jorge Drosten; Beatriz Jaramillo; Marta Lacorazza; Becky Mayer; Julián Posada; Camilo Velásquez","Actitudes Plurales","Miguel González","Museo de Arte Moderno La Tertulia; Pedro Alcántara Herrán; Soffy Arboleda de Vega; Maripaz Jaramillo; María Thereza Negreiros; Amparo Urdinola de Zaccour; Mireya Zayadzki de Barney.","Museo de Arte Moderno La Tertulia",Colombia,Cali,1,1983,exposición,colectiva,temporal,curador
158,"Al Natural  - Bogotá - 1991","Ana María Rueda","Al Natural ",,"Galería Garcés Velásquez","Galería Garcés Velásquez",Colombia,Bogotá,7,1991,exposición,colectiva,temporal,
324,"Alicia Barney  - Aves en el cielo - Bogotá - 1993","Alicia Barney ","Aves en el cielo",,"Galería Gartner Torres","Galería Gartner Torres",Colombia,Bogotá,5,1993,exposición,individual,temporal,
32,"Alicia Barney  - Juguete de las Hadas  - itinerante - 1998","Alicia Barney ","Juguete de las Hadas ",,"Fondo de la Promoción para la Cultura; Banco Popular; Museo Arqueológico La Merced","Museo Arqueológico La Merced",Colombia,Cali,3,1998,exposición,individual,itinerante,
159,"Alternativas en proceso - Bogotá - 1992","Carlos Andrade","Alternativas en proceso",,"Galería El Museo","Galería El Museo",Colombia,Bogotá,,1992,exposición,colectiva,temporal,
327,"Álvaro Barrios - Ars Longa Vita Brevis - Bogotá - 1998","Álvaro Barrios","Ars Longa Vita Brevis",,"Galería Santa Fe","Galería Santa Fe - Planetario Distrital",Colombia,Bogotá,2,1998,exposición,individual,temporal,
328,"Álvaro Barrios - Exposición - Barranquilla - 1978","Álvaro Barrios",Exposición,,"María Eugenia Castro de Schutmann ; Jairo Quintero","Galería Quintero",Colombia,Barranquilla,,1978,exposición,individual,temporal,
329,"Álvaro Barrios - Historias Sagradas contadas otra vez - Bogotá - 1992","Álvaro Barrios","Historias Sagradas contadas otra vez",,"Galería Alfred Wild","Galería Alfred Wild",Colombia,Bogotá,9,1992,exposición,individual,temporal,
34,"Álvaro Barrios - Los Cincuenta Caminos de la Vida - itinerante - 1996","Álvaro Barrios","Los Cincuenta Caminos de la Vida","Alberto Sierra Maya","Galería Garcés Velásquez","Galería Garcés Velásquez",Colombia,Bogotá,8,1996,exposición,individual,itinerante,curador
33,"Álvaro Barrios - Los Cincuenta Caminos de la Vida - itinerante - 1997","Álvaro Barrios","Los Cincuenta Caminos de la Vida",,"Museo de Arte Moderno de Barranquilla","Museo de Arte Moderno de Barranquilla",Colombia,Barranquilla,10,1997,exposición,individual,itinerante,
330,"Álvaro Barrios - Luz de la cueva de los sueños - Cali - 1990","Álvaro Barrios","Luz de la cueva de los sueños","Cristiane Lesueur (escribe)","Museo de Arte Moderno La Tertulia","Museo de Arte Moderno La Tertulia",Colombia,Cali,4,1990,exposición,individual,temporal,curador
331,"Álvaro Barrios - Obra gráfica de Álvaro Barrios - Bogotá - 1997","Álvaro Barrios","Obra gráfica de Álvaro Barrios","Eduardo Vides Celis","Banco de la República;Biblioteca Luis Ángel Arango","Biblioteca Luis Ángel Arango",Colombia,Bogotá,,1997,exposición,individual,temporal,curador
332,"Álvaro Barrios - Retrospectiva Falsa - Bogotá - 1989","Álvaro Barrios","Retrospectiva Falsa",,"Galería Alfred Wild","Galería Alfred Wild",Colombia,Bogotá,2,1989,exposición,individual,temporal,
333,"Álvaro Barrios - Sueños con Marcel Duchamp - Bogotá - 1980","Álvaro Barrios","Sueños con Marcel Duchamp",,"Galería Garcés Velásquez","Galería Garcés Velásquez",Colombia,Bogotá,8,1980,exposición,individual,temporal,
334,"Álvaro Barrios - Veinte años entre la idea y el sueño  - Bogotá - 1986","Álvaro Barrios","Veinte años entre la idea y el sueño ",,"Museo de Arte Moderno de Bogotá","Museo de Arte Moderno de Bogotá",Colombia,Bogotá,4,1986,retrospectiva,individual,temporal,
325,"Álvaro Barrios - «Obra Gráfica» retrospectiva - Cartagena - 1987","Álvaro Barrios","«Obra Gráfica» retrospectiva",,"Museo de Arte Moderno ","Museo de Arte Moderno de Cartagena",Colombia,Cartagena,,1987,retrospectiva,individual,temporal,
326,"Álvaro Barrios - «Obra Gráfica» retrospectiva - Paris - 1987","Álvaro Barrios","«Obra Gráfica» retrospectiva",,"Galería Salammbo","Galería Salammbo",Francia,Paris,,1987,exposición,individual,temporal,
160,"América novia del sol - Amberes - 1992","Alicia Barney ;Óscar Muñoz","América novia del sol",,"Museo Real de Bellas Artes de Amberes","Museo Real de Bellas Artes de Amberes",Bélgica,Amberes,4,1992,exposición,colectiva,temporal,
335,"Ana María Rueda  - Ecos - Cali - 1996","Ana María Rueda ",Ecos,,"Galería Jenny Vilá","Galería Jenny Vilá",Colombia,Cali,4,1996,exposición,individual,temporal,
336,"Ana María Rueda  - Exposición - Cali - 1993","Ana María Rueda ",Exposición,,"Galería Jenny Vilá","Galería Jenny Vilá",Colombia,Cali,11,1993,exposición,individual,temporal,
337,"Ana María Rueda  - Exposición - Medellín - 1988","Ana María Rueda ",Exposición,,"Galería Finale","Galería Finale",Colombia,Medellín,,1988,exposición,individual,temporal,
338,"Ana María Rueda  - Exposición de Ana María Rueda - Cali - 1988","Ana María Rueda ","Exposición de Ana María Rueda",,"Museo de Arte Moderno La Tertulia","Museo de Arte Moderno La Tertulia",Colombia,Cali,5,1988,exposición,individual,temporal,
339,"Ana María Rueda  - Fuego Interior - Bogotá - 1999","Ana María Rueda ","Fuego Interior",,"Museo de Arte Moderno de Bogotá","Museo de Arte Moderno de Bogotá",Colombia,Bogotá,4,1999,exposición,individual,temporal,
340,"Ana María Rueda  - Las cosas del agua - Bogotá - 1986","Ana María Rueda ","Las cosas del agua",,"Museo de Arte Moderno de Bogotá","Museo de Arte Moderno de Bogotá",Colombia,Bogotá,,1986,exposición,individual,temporal,
161,"Ante América - Bogotá - 1992","José Antonio Suárez","Ante América","Gerardo Mosquera; Carolina Ponce de León; Rachel Weiss","Banco de la República","Biblioteca Luis Ángel Arango",Colombia,Bogotá,10,1992,exposición,colectiva,temporal,curador
38,"Arco 85 - Madrid - 1985","Ever Astudillo ;Pedro Alcántara Herrán; Luis Caballero ; Carlos Cruz-Díez","Arco 85",,"Corporación Prográfica de Cali; Galería Quintero - Barranquilla; Fundación ARCO ","Recinto ferial de la Casa de Campo - Pabellón de Cristal",España,Madrid,2,1985,feria,colectiva,periodica,curador
39,"Arco 86 - Madrid - 1986","Óscar Muñoz","Arco 86",,"Galería Quintero - Barranquilla ","Recinto ferial de la Casa de Campo - Pabellón de Cristal",España,Madrid,4,1986,feria,colectiva,periodica,
40,"Arco 93 - Madrid - 1993","Miguel Ángel Rojas ;Dorís Salcedo","Arco 93",,"Galería Garcés Velásquez","Arco Madrid",España,Madrid,2,1993,feria,colectiva,periodica,
41,"Arco 95 - Madrid - 1995","Luz Ángela Lizarazo ;Rodrigo Facundo; Luis Fernando Peláez","Arco 95",,"Galería Garcés Velásquez","Parque Juan Carlos I",España,Madrid,2,1995,feria,colectiva,periodica,
42,"Arco 97 - Madrid - 1997","Ana Claudia Múnera;Andy Warhol; Tom Wesselmann; Calder; Moore; Francis Bacon; Miró; Tapiès; Antonio Saura; Eduardo Arroyo; Barceló; Pablo Picasso; Torres García; Roberto Matta; Lam. Soto; Claudio Bravo; Fernando Botero; Negret","Arco 97","Octavio Zaya",,"Parque Juan Carlos I",España,Madrid,2,1997,feria,colectiva,periodica,curador
43,"Art Basel 25'94 - Basilea - 1994","María Fernanda Cardoso;María Teresa Cano; Rodrigo Facundo; Elías Heim; José Horacio Martínez; Germán Martínez; Delcy Morelos; Juan Andrés Posada; Alejandro Restrepo; Daniel Rivera; Víctor Robledo; Miguel Ángel Rojas; Pablo Van Wong; Villa Doutreligne; Christo; Marcel Duchamp ; John Cage","Art Basel 25'94",,"Galería Valenzuela y Klenner; Swiss Bank Corporation; Art Basel","Hallen der Messe",Suiza,Basilea,6,1994,feria,colectiva,periodica,
162,"Art Miami 95 - Miami - 1995","Carlos Arturo Salazar Silva;Peter von Artens; Jim Amaral; José Bedia; Roberto Márquez; Fernando Botero; Roberto Matta; Claudio Bravo; Armando Morales; Carlos Capelan; Antonio Seguí; Rufino Tamayo; Wifredo Lam; Meyer Waisman ; Joaquín Torres García","Art Miami 95",,"Galería El Museo","Miami Beach Convention Center","Estados Unidos",Miami,1,1995,feria,colectiva,temporal,
163,"Art, Politics, Religion: Contemporary Art From Colombia - Coventry  - 1995","José Horacio Martínez ;Jorge Julián Aristizábal; Raúl Cristancho; Ethel Gilmour; Víctor Laignelet; Miguel Ángel Rojas; Gabriel Silva Rubio; Beatriz González;  Juan Camilo Uribe","Art, Politics, Religion: Contemporary Art From Colombia","Víctoria Preston","BP;Ministerio de Relaciones Exteriores de Colombia; La Previsora S.A.; Martinair Holland; Cranleigh Freight Services and Visiting Arts","Mead Gallery",Inglaterra,"Coventry ",10,1995,exposición,colectiva,temporal,curador
164,"Arte Colombiano de hoy - Caracas - 1974","Miguel Ángel Rojas","Arte Colombiano de hoy",,"Fundación Eugenio Mendoza","Sala Mendoza",Venezuela,Caracas,,1974,exposición,colectiva,temporal,
165,"Arte Colombiano de los 90 - Cartagena - 1998","Delcy Morelos;Jaime Alberto Franco;José Horacio Martínez;Jorge Julián Aristizábal","Arte Colombiano de los 90",,"Bid Banco Interamericano de desarrollo;Ministerio de Cultura de Colombia","Museo de Arte Moderno de Cartagena",Colombia,Cartagena,3,1998,exposición,colectiva,temporal,
166,"Arte Colombiano, Juegos del pacífico - Cali - 1995","Pablo Van Wong ;Alejandro Obregón; Enrique Grau; Lucy Tejada; María Thereza Negreiros; Pedro Alcántara Herrán; Antonio Barrera; Santiago Cárdenas; Darío Morales; Alicia Barney; Antonio José Caro; Consuelo Gómez; Luis Caballero; Leonel Góngora; Beatriz González; Maripaz Jaramillo; Óscar Muñoz; Édgar Negret; Nadín Ospina; Eduardo Ramírez Villamizar; Ómar Rayo; Carlos Rojas; Bernardo Salcedo; Hernándo Tejada; Pablo Van Wong; Hugo Zapata","Arte Colombiano, Juegos del pacífico",,"Museo de Arte Moderno La Tertulia","Museo de Arte Moderno La Tertulia",Colombia,Cali,6,1995,exposición,colectiva,temporal,
167,"Arte de los años ochenta  - Cali - 1980","Antonio José Caro","Arte de los años ochenta ","Álvaro Barrios","Museo de Arte Moderno La Tertulia","Museo de Arte Moderno La Tertulia",Colombia,Cali,3,1980,exposición,colectiva,temporal,curador
44,"Arte del Taller, Arte de la Calle - Madrid - 1983","Álvaro Barrios;En depósito obras de Jesús Soto; Fernando Botero; Fernando de Szyszlo; Ómar Rayo; Édgar Negret; Rogelio Polesello; Manuel Hernández","Arte del Taller, Arte de la Calle",,"Fundación ARCO ","Arco Madrid-Ecole des Beaux Arts de París ",España,Madrid,,1983,feria,colectiva,periodica,
168,"Arte erótico - Medellín  - 1980","Miguel Ángel Rojas ;Ronny Vayda","Arte erótico",,"Galería La Oficina","Galería La Oficina",Colombia,"Medellín ",,1980,exposición,colectiva,temporal,
169,"Arte Joven - Cali - 1995","Luz Ángela Lizarazo ;Víctor Laignelet; Diego Mazuera; Rodrigo Facundo; Rafael Ortiz; Miguel Böhmer Ángel","Arte Joven",,"Galería Jenny Vilá","Galería Jenny Vilá",Colombia,Cali,8,1995,exposición,colectiva,temporal,
45,"Arte y Ahora  - Cali - 1989","José Horacio Martínez ;Luis Guillermo Villegas; Carmen Elisa Balanta ; José Horacio Martínez","Arte y Ahora ",,"Galería Jenny Vilá","Galería Jenny Vilá",Colombia,Cali,6,1989,exposición,colectiva,periodica,
170,"Arte y Violencia en Colombia desde 1948 - Bogotá - 1999","Dorís Salcedo; Beatriz González;Delcy Morelos; Ethel Gilmour; Gustavo Zalamea Traba; Patricia Escobar;Alejandro Obregón;Óscar Muñoz","Arte y Violencia en Colombia desde 1948","Álvaro Medina ","Museo de Arte Moderno de Bogotá","Museo de Arte Moderno de Bogotá",Colombia,Bogotá,5,1999,exposición,colectiva,temporal,curador
171,"Artfi 93-Feria Internacional de Arte de Bogotá - Bogotá - 1993","Jorge Montealegre;David Manzur","Artfi 93-Feria Internacional de Arte de Bogotá",,"Galería de Arte Moderno Álvaro Vanegas; Artfi","Centro de Convenciones Gonzalo Jiménez de Quesada",Colombia,Bogotá,12,1993,feria,colectiva,temporal,
172,"Artistas Antioqueños por el mundo - Medellín  - 1991","Ana Claudia Múnera","Artistas Antioqueños por el mundo",,"Secretaría de Educación y Cultura del Departamento de Antioquia","Secretaria de Educación y Cultura del Departamento",Colombia,"Medellín ",,1991,exposición,colectiva,temporal,
173,"Artistas colombianos de los 80 - Buenos Aires - 1989","Cristina Llano","Artistas colombianos de los 80",,"Instituto de Cooperación Iberoamericana","Instituto de Cooperación Iberoamericana",Argentina,"Buenos Aires",,1989,exposición,colectiva,temporal,
174,"Artistas colombianos en la colección Museo de Arte Moderno de Bogotá - Bogotá - 1994","Pablo Van Wong","Artistas colombianos en la colección Museo de Arte Moderno de Bogotá",,"Museo de Arte Moderno de Bogotá","Museo de Arte Moderno de Bogotá",Colombia,Bogotá,,1994,exposición,colectiva,temporal,
175,"Aspectos de lo Tridimensional en el Arte Colombiano - Cali - 1984","Jim Amaral ; Olga de Amaral; Alicia Barney; Álvaro Barrios; Fernando Botero; Feliza Bursztyn; Antonio José Caro; John Castles; Beatriz Daza; Ramiro Gómez; Beatriz González; Enrique Grau; Álvaro Herazo; Maripaz Jaramillo; Jonier Marín; Sara Modiano; Darío Morales; María Thereza Negreiros; Édgar Negret; Eduardo Ramírez Villamizar; Ómar Rayo; Carlos Rojas; Miguel Ángel Rojas; Bernardo Salcedo; Hernándo Tejada; Alberto Uribe; Juan Camilo Uribe; Santiago Uribe Holguín; Ronny Vayda","Aspectos de lo Tridimensional en el Arte Colombiano",,"Museo de Arte Moderno La Tertulia","Museo de Arte Moderno La Tertulia",Colombia,Cali,11,1984,exposición,colectiva,temporal,
341,"Bernardo Ortiz  - Dibujos - Cali - 1995","Bernardo Ortiz ",Dibujos,,Proartes,"Casa Proartes",Colombia,Cali,9,1995,exposición,individual,temporal,
176,"Bicentenario de la Revolución Francesa - Cali - 1989","Ever Astudillo ;Liliana Durán; Mario Gordillo ; Óscar Muñoz","Bicentenario de la Revolución Francesa",,"Secretaría de Hacienda Departamental; Instituto Departamental de Bellas Artes ","Sala Julio Valencia - Instituto Departamental de Bellas Artes",Colombia,Cali,7,1989,"circulación de obra gráfica",colectiva,temporal,
178,"BIO*. *As in ‘Biography’, ‘Biology’, ‘Biogenesis’ - Nueva York - 1996","Pablo Van Wong","BIO*. *As in ‘Biography’, ‘Biology’, ‘Biogenesis’","Carolina Ponce de León","Colombian Center Nueva York","Colombian Center de Nueva York","Estados Unidos","Nueva York",10,1996,exposición,colectiva,temporal,curador
177,"BIO, Exposición Individual de Miguel Ángel Rojas - Bogotá - 1991","Miguel Ángel Rojas","BIO, Exposición Individual de Miguel Ángel Rojas",,"Museo de Arte Moderno de Bogotá","Museo de Arte Moderno de Bogotá",Colombia,Bogotá,10,1991,exposición,colectiva,temporal,
179,"Blanco y Negro sobre papel - Cali - 1989","Ever Astudillo Pablo Picasso; Jim Dine; Fernando Botero; Wilhem de Kooning; Oswaldo Guayasamín; Diego Rivera; David Alfaro Siqueiros; José Guadalupe Posada; Julio Leparc; Darío Morales; Ellsworth Kelly; Juan Antonio Roda; Peter Milton; Liliana Porter; Rodolfo Abularach","Blanco y Negro sobre papel",,"Museo de Arte Moderno La Tertulia ","Museo de Arte Moderno La Tertulia",Colombia,Cali,7,1989,exposición,colectiva,temporal,
342,"Carlos Andrade  - Carlos Andrade - Cali - 1991","Carlos Andrade ","Carlos Andrade",,"Galería Jenny Vilá","Galería Jenny Vilá",Colombia,Cali,2,1991,exposición,individual,temporal,
343,"Carlos Andrade  - Carlos Andrade, pinturas, cajas de luces y monotipos - Cali - 1998","Carlos Andrade ","Carlos Andrade, pinturas, cajas de luces y monotipos",,"Galería Taller de La Tertulia ; Ministerio de Cultura de Colombia; Dirección de Cultura de Cali; Gerencia Cultural de la Gobernación del Departamento del Valle del Cauca","Galería Taller de La Tertulia",Colombia,Cali,2,1998,exposición,individual,temporal,
344,"Carlos Arturo Salas Silva  - Pinturas Cromáticas - Bogotá - 1988","Carlos Arturo Salas Silva ","Pinturas Cromáticas","Carolina Ponce de León","Galería El Museo","Galería El Museo",Colombia,Bogotá,11,1988,exposición,individual,temporal,curador
345,"Carlos Duque - Fotografismos - Cali - 1983","Carlos Duque",Fotografismos,"Bernardo Salcedo","Museo de Arte Moderno La Tertulia","Museo de Arte Moderno La Tertulia",Colombia,Cali,5,1983,exposición,individual,temporal,curador
346,"César Alfaro Mosquera - La Carne y el fenómeno de la Turbulencia. Estudios sobre la forma y el color en la obra de F.Bacon - Cali - 2000","César Alfaro Mosquera","La Carne y el fenómeno de la Turbulencia. Estudios sobre la forma y el color en la obra de F.Bacon",,"Alianza Francesa de Cali; Fundir","Alianza Francesa de Cali",Colombia,Cali,11,2000,exposición,individual,temporal,
1,"Cien años de arte colombiano - itinerante - 1985","Miguel Ángel Rojas","Cien años de arte colombiano",,"Museo de Arte Moderno de Bogotá","Museo de Arte Moderno de Bogotá",Colombia,Bogotá,,1985,exposición,colectiva,itinerante,
180,"Cinco dibujantes colombianos - Bogotá - 1984","Miguel Ángel Rojas","Cinco dibujantes colombianos",,"Galería Garcés Velásquez","Galería Garcés Velásquez",Colombia,Bogotá,,1984,exposición,colectiva,temporal,
181,"Cinco Fotografos Caleños  - Bogotá - 1998","Leonardo Herrera","Cinco Fotografos Caleños ",,"Alianza Francesa de Bogotá","Alianza Francesa de Bogotá",Colombia,Bogotá,,1998,exposición,colectiva,temporal,
182,"Cinco Pintores Abstractos - Cali - 1989","Luis Fernando Roldán ;Danilo Dueñas; Luis Fernando Roldán; Carlos Arturo Salas Silva; Santiago Uribe Holguín; Luis Fernando Zapata","Cinco Pintores Abstractos",,"Museo de Arte Moderno La Tertulia ","Museo de Arte Moderno La Tertulia",Colombia,Cali,3,1989,exposición,colectiva,temporal,
183,"Colectiva - Barranquilla - 1989","Álvaro Barrios;Pedro Alcántara Herrán; Fernando Botero; Salvador Dalí; Gonzalo Endara Crow; Enrique Grau; Margarita Gómez Campuzano; Ángel Loochkartt; Darío Morales; David Manzur; Alejandro Obregón;Pablo Picasso; Rafael Panizza; Rafael Penagos; Saturnino Ramírez ;Alberto Sojo",Colectiva,,"Galeria Elida Lara","Galeria Elida Lara",Colombia,Barranquilla,,1989,exposición,colectiva,temporal,
